Openness	Species	Type
132	Pinkfoot	Fieldobs
101	Pinkfoot	Fieldobs
297	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
77	Pinkfoot	Fieldobs
166	Pinkfoot	Fieldobs
106	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
138	Pinkfoot	Fieldobs
262	Pinkfoot	Fieldobs
132	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
153	Pinkfoot	Fieldobs
166	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
133	Pinkfoot	Fieldobs
133	Pinkfoot	Fieldobs
104	Pinkfoot	Fieldobs
277	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
162	Pinkfoot	Fieldobs
123	Pinkfoot	Fieldobs
87	Pinkfoot	Fieldobs
97	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
155	Pinkfoot	Fieldobs
87	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
217	Pinkfoot	Fieldobs
120	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
62	Pinkfoot	Fieldobs
196	Pinkfoot	Fieldobs
136	Pinkfoot	Fieldobs
349	Pinkfoot	Fieldobs
206	Pinkfoot	Fieldobs
118	Pinkfoot	Fieldobs
196	Pinkfoot	Fieldobs
240	Pinkfoot	Fieldobs
103	Pinkfoot	Fieldobs
126	Pinkfoot	Fieldobs
152	Pinkfoot	Fieldobs
62	Pinkfoot	Fieldobs
55	Pinkfoot	Fieldobs
300	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
112	Pinkfoot	Fieldobs
72	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
232	Pinkfoot	Fieldobs
120	Pinkfoot	Fieldobs
200	Pinkfoot	Fieldobs
91	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
40	Pinkfoot	Fieldobs
408	Pinkfoot	Fieldobs
247	Pinkfoot	Fieldobs
132	Pinkfoot	Fieldobs
114	Pinkfoot	Fieldobs
248	Pinkfoot	Fieldobs
89	Pinkfoot	Fieldobs
310	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
154	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
49	Pinkfoot	Fieldobs
297	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
149	Pinkfoot	Fieldobs
126	Pinkfoot	Fieldobs
135	Pinkfoot	Fieldobs
66	Pinkfoot	Fieldobs
199	Pinkfoot	Fieldobs
131	Pinkfoot	Fieldobs
123	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
147	Pinkfoot	Fieldobs
87	Pinkfoot	Fieldobs
118	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
143	Pinkfoot	Fieldobs
83	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
111	Pinkfoot	Fieldobs
178	Pinkfoot	Fieldobs
120	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
300	Pinkfoot	Fieldobs
109	Pinkfoot	Fieldobs
120	Pinkfoot	Fieldobs
159	Pinkfoot	Fieldobs
193	Pinkfoot	Fieldobs
437	Pinkfoot	Fieldobs
144	Pinkfoot	Fieldobs
123	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
101	Pinkfoot	Fieldobs
138	Pinkfoot	Fieldobs
139	Pinkfoot	Fieldobs
135	Pinkfoot	Fieldobs
37	Pinkfoot	Fieldobs
123	Pinkfoot	Fieldobs
101	Pinkfoot	Fieldobs
41	Pinkfoot	Fieldobs
156	Pinkfoot	Fieldobs
259	Pinkfoot	Fieldobs
217	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
146	Pinkfoot	Fieldobs
64	Pinkfoot	Fieldobs
188	Pinkfoot	Fieldobs
143	Pinkfoot	Fieldobs
49	Pinkfoot	Fieldobs
101	Pinkfoot	Fieldobs
84	Pinkfoot	Fieldobs
164	Pinkfoot	Fieldobs
52	Pinkfoot	Fieldobs
188	Pinkfoot	Fieldobs
125	Pinkfoot	Fieldobs
133	Pinkfoot	Fieldobs
152	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
101	Pinkfoot	Fieldobs
61	Pinkfoot	Fieldobs
153	Pinkfoot	Fieldobs
128	Pinkfoot	Fieldobs
209	Pinkfoot	Fieldobs
113	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
91	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
219	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
206	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
56	Pinkfoot	Fieldobs
277	Pinkfoot	Fieldobs
189	Pinkfoot	Fieldobs
177	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
160	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
175	Pinkfoot	Fieldobs
331	Pinkfoot	Fieldobs
497	Pinkfoot	Fieldobs
159	Pinkfoot	Fieldobs
108	Pinkfoot	Fieldobs
57	Pinkfoot	Fieldobs
227	Pinkfoot	Fieldobs
150	Pinkfoot	Fieldobs
87	Pinkfoot	Fieldobs
131	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
136	Pinkfoot	Fieldobs
114	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
149	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
288	Pinkfoot	Fieldobs
158	Pinkfoot	Fieldobs
116	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
127	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
87	Pinkfoot	Fieldobs
120	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
349	Pinkfoot	Fieldobs
160	Pinkfoot	Fieldobs
102	Pinkfoot	Fieldobs
149	Pinkfoot	Fieldobs
135	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
234	Pinkfoot	Fieldobs
152	Pinkfoot	Fieldobs
130	Pinkfoot	Fieldobs
42	Pinkfoot	Fieldobs
245	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
186	Pinkfoot	Fieldobs
150	Pinkfoot	Fieldobs
251	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
166	Pinkfoot	Fieldobs
91	Pinkfoot	Fieldobs
90	Pinkfoot	Fieldobs
109	Pinkfoot	Fieldobs
117	Pinkfoot	Fieldobs
143	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
153	Pinkfoot	Fieldobs
62	Pinkfoot	Fieldobs
46	Pinkfoot	Fieldobs
152	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
126	Pinkfoot	Fieldobs
150	Pinkfoot	Fieldobs
102	Pinkfoot	Fieldobs
84	Pinkfoot	Fieldobs
144	Pinkfoot	Fieldobs
144	Pinkfoot	Fieldobs
81	Pinkfoot	Fieldobs
115	Pinkfoot	Fieldobs
143	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
90	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
107	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
195	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
87	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
183	Pinkfoot	Fieldobs
84	Pinkfoot	Fieldobs
217	Pinkfoot	Fieldobs
109	Pinkfoot	Fieldobs
133	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
78	Pinkfoot	Fieldobs
104	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
143	Pinkfoot	Fieldobs
126	Pinkfoot	Fieldobs
72	Pinkfoot	Fieldobs
149	Pinkfoot	Fieldobs
102	Pinkfoot	Fieldobs
78	Pinkfoot	Fieldobs
84	Pinkfoot	Fieldobs
133	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
87	Pinkfoot	Fieldobs
96	Pinkfoot	Fieldobs
241	Pinkfoot	Fieldobs
90	Pinkfoot	Fieldobs
152	Pinkfoot	Fieldobs
175	Pinkfoot	Fieldobs
75	Pinkfoot	Fieldobs
117	Pinkfoot	Fieldobs
241	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
69	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
159	Pinkfoot	Fieldobs
277	Pinkfoot	Fieldobs
156	Pinkfoot	Fieldobs
78	Pinkfoot	Fieldobs
227	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
174	Pinkfoot	Fieldobs
138	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
90	Pinkfoot	Fieldobs
101	Pinkfoot	Fieldobs
191	Pinkfoot	Fieldobs
237	Pinkfoot	Fieldobs
124	Pinkfoot	Fieldobs
178	Pinkfoot	Fieldobs
211	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
103	Pinkfoot	Fieldobs
78	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
56	Pinkfoot	Fieldobs
146	Pinkfoot	Fieldobs
84	Pinkfoot	Fieldobs
183	Pinkfoot	Fieldobs
137	Pinkfoot	Fieldobs
108	Pinkfoot	Fieldobs
149	Pinkfoot	Fieldobs
198	Pinkfoot	Fieldobs
112	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
147	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
144	Pinkfoot	Fieldobs
100	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
196	Pinkfoot	Fieldobs
90	Pinkfoot	Fieldobs
180	Pinkfoot	Fieldobs
152	Pinkfoot	Fieldobs
35	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
277	Pinkfoot	Fieldobs
113	Pinkfoot	Fieldobs
52	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
73	Pinkfoot	Fieldobs
112	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
164	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
72	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
71	Pinkfoot	Fieldobs
70	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
150	Pinkfoot	Fieldobs
127	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
66	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
156	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
37	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
72	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
135	Pinkfoot	Fieldobs
102	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
78	Pinkfoot	Fieldobs
137	Pinkfoot	Fieldobs
217	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
143	Pinkfoot	Fieldobs
110	Pinkfoot	Fieldobs
127	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
79	Pinkfoot	Fieldobs
128	Pinkfoot	Fieldobs
142	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
159	Pinkfoot	Fieldobs
104	Pinkfoot	Fieldobs
62	Pinkfoot	Fieldobs
106	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
37	Pinkfoot	Fieldobs
150	Pinkfoot	Fieldobs
61	Pinkfoot	Fieldobs
195	Pinkfoot	Fieldobs
90	Pinkfoot	Fieldobs
217	Pinkfoot	Fieldobs
84	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
84	Pinkfoot	Fieldobs
200	Pinkfoot	Fieldobs
64	Pinkfoot	Fieldobs
49	Pinkfoot	Fieldobs
127	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
113	Pinkfoot	Fieldobs
113	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
37	Pinkfoot	Fieldobs
66	Pinkfoot	Fieldobs
163	Pinkfoot	Fieldobs
61	Pinkfoot	Fieldobs
96	Pinkfoot	Fieldobs
102	Pinkfoot	Fieldobs
61	Pinkfoot	Fieldobs
64	Pinkfoot	Fieldobs
107	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
75	Pinkfoot	Fieldobs
206	Pinkfoot	Fieldobs
66	Pinkfoot	Fieldobs
58	Pinkfoot	Fieldobs
37	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
133	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
227	Pinkfoot	Fieldobs
62	Pinkfoot	Fieldobs
29	Pinkfoot	Fieldobs
51	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
163	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
150	Pinkfoot	Fieldobs
126	Pinkfoot	Fieldobs
127	Pinkfoot	Fieldobs
161	Pinkfoot	Fieldobs
168	Pinkfoot	Fieldobs
142	Pinkfoot	Fieldobs
127	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
58	Pinkfoot	Fieldobs
66	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
112	Pinkfoot	Fieldobs
72	Pinkfoot	Fieldobs
88	Pinkfoot	Fieldobs
203	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
126	Pinkfoot	Fieldobs
158	Pinkfoot	Fieldobs
61	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
106	Pinkfoot	Fieldobs
84	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
100	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
58	Pinkfoot	Fieldobs
217	Pinkfoot	Fieldobs
223	Pinkfoot	Fieldobs
127	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
135	Pinkfoot	Fieldobs
128	Pinkfoot	Fieldobs
158	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
98	Pinkfoot	Fieldobs
135	Pinkfoot	Fieldobs
